    0.218447067678478657E+00    0.275015310642661859E+03   -0.603825760636320830E+01   -0.415086988582012673E+01   -0.678106575908140741E+01   -0.689827323906412904E+01    0.343682809665281775E+04
    0.218187452360101342E+00    0.274717200187950368E+03   -0.663387557345990686E+01   -0.376779071621707651E+01   -0.582999235082256195E+01   -0.635591806186587682E+01    0.343683627718033313E+04
    0.218287540226130922E+00    0.287199062605516588E+03   -0.669624204840500603E+01   -0.423989874962054714E+01   -0.590616669355505941E+01   -0.572064020639294490E+01    0.343686991584901989E+04
    0.218602745913643287E+00    0.274398868843146317E+03   -0.647283453034815093E+01   -0.409844880078488760E+01   -0.767805098092231741E+01   -0.608548775864009794E+01    0.343687227699273762E+04
    0.218631508805215619E+00    0.250901539825260642E+03   -0.684963313390328565E+01   -0.360209771832254777E+01   -0.599177804426270200E+01   -0.478854926577339945E+01    0.343688700929812103E+04
    0.219268378669194103E+00    0.253674841102530479E+03   -0.630622849398714180E+01   -0.431448683912676945E+01   -0.584831756150072213E+01   -0.598404654494689670E+01    0.343693083119204857E+04
    0.218771722715295186E+00    0.266575108315148441E+03   -0.659591501362581933E+01   -0.415020965319329971E+01   -0.595889231295231969E+01   -0.501059343902451815E+01    0.343694670444980648E+04
    0.218258898331324058E+00    0.267078991619286001E+03   -0.618147204324341448E+01   -0.367302797225920319E+01   -0.586641423494125114E+01   -0.679656474772490871E+01    0.343697163655954046E+04
    0.218110127714003066E+00    0.284379253280334979E+03   -0.623968265948432865E+01   -0.392495961317710318E+01   -0.574282169635481310E+01   -0.650969970244349216E+01    0.343699644869103213E+04
    0.218629272374111394E+00    0.278758209557565806E+03   -0.622228938834126133E+01   -0.415916067496479247E+01   -0.669700580189003780E+01   -0.667707528183539090E+01    0.343703572503442183E+04
    0.218938592951859523E+00    0.264745285806964660E+03   -0.632334470372400848E+01   -0.427735347451683801E+01   -0.529797066959889751E+01   -0.695874295559228084E+01    0.343703665268206487E+04
    0.218182130516386241E+00    0.288643695208067072E+03   -0.674939205962000610E+01   -0.412675824932213509E+01   -0.658696259580687205E+01   -0.543024137043610633E+01    0.343704013924795981E+04
    0.218426181693765348E+00    0.291522944120387535E+03   -0.677024682306552616E+01   -0.427854498403861516E+01   -0.601687961490472123E+01   -0.677899111497556905E+01    0.343704667292054000E+04
    0.218460311978989075E+00    0.270937129047927328E+03   -0.642184556173747900E+01   -0.396116860753262046E+01   -0.744203263846692309E+01   -0.563106339657639943E+01    0.343705151690550838E+04
    0.218373324686903542E+00    0.268825558089278331E+03   -0.644365372299282502E+01   -0.398818182585912595E+01   -0.670325167867493299E+01   -0.651162773264027894E+01    0.343708033094865186E+04
    0.218434787049835655E+00    0.271322944570874540E+03   -0.664469102711685267E+01   -0.410053154159741240E+01   -0.690060521505649493E+01   -0.596449937116718854E+01    0.343708869963661709E+04
    0.218163534668051717E+00    0.283788523155675080E+03   -0.666216399073803345E+01   -0.403741719842862690E+01   -0.633612556515550374E+01   -0.625516589244723686E+01    0.343710069963148089E+04
    0.218685503440944506E+00    0.260405754916285105E+03   -0.585263732885280774E+01   -0.391253813465523237E+01   -0.580582004115884676E+01   -0.606721357871381617E+01    0.343711039894519445E+04
    0.218428120006996962E+00    0.285031912133178309E+03   -0.661892203763544362E+01   -0.422095984014844916E+01   -0.741415491222761158E+01   -0.609274735857879168E+01    0.343712142448803434E+04
    0.218369858917216553E+00    0.262954813343085334E+03   -0.608723533772142567E+01   -0.367116771022737787E+01   -0.562588007390341183E+01   -0.549820872018373752E+01    0.343717055440497825E+04
    0.218679926894467330E+00    0.263879642226722922E+03   -0.669834478133600175E+01   -0.386951347410195634E+01   -0.515592204790790376E+01   -0.556703461392052468E+01    0.343717548871174131E+04
    0.218335974330600618E+00    0.257803003420280561E+03   -0.684096213128517849E+01   -0.375373757725197077E+01   -0.572100169528313796E+01   -0.509089355391980369E+01    0.343719040973958772E+04
    0.218066534021068570E+00    0.278810663922587423E+03   -0.632215864407551642E+01   -0.388835950155629639E+01   -0.589658787097491111E+01   -0.541077417745895239E+01    0.343722353496716732E+04
    0.218144067462530622E+00    0.276143904450665161E+03   -0.667724985674876592E+01   -0.391829678785024527E+01   -0.559994720820859371E+01   -0.596467395385544297E+01    0.343724353337701859E+04
