lambda,sigma_inst,sigma_ale_med,sigma_epi_med,sigma_total_med,ratio_ale_inst,ratio_total_inst
76,9.369401713969831e-05,4.684701e-05,7.901881e-06,4.7508758e-05,0.5000000131135663,0.5070628797214023
77,9.462565488279251e-05,4.7312828e-05,6.887587e-06,4.7811533e-05,0.5000000008191442,0.5052702951112182
78,9.471650202482241e-05,4.735825e-05,9.390453e-06,4.828027e-05,0.5000000032716838,0.509734529390101
79,9.414406597737378e-05,4.7072033e-05,7.3817537e-06,4.7647314e-05,0.5000000037278911,0.5061106476516546
80,9.375874502573893e-05,4.6879373e-05,8.512692e-06,4.7646005e-05,0.5000000079471018,0.5081766454843041
81,9.332890834582866e-05,4.6664452e-05,7.1726945e-06,4.721248e-05,0.4999999808320791,0.5058719960007168
82,9.311964701204037e-05,4.6559824e-05,7.4932127e-06,4.7158937e-05,0.5000000065236615,0.5064338073714119
83,9.232889816906362e-05,4.616445e-05,6.52161e-06,4.6622823e-05,0.499999994500256,0.5049645768233094
84,9.118951004092543e-05,4.5594756e-05,7.583845e-06,4.622117e-05,0.5000000068758836,0.5068693568326448
85,8.983360462281615e-05,4.4916804e-05,7.7302775e-06,4.5577148e-05,0.5000000159566828,0.5073507627953856
86,8.886208577179192e-05,4.4431043e-05,6.76933e-06,4.4943758e-05,0.4999999970599556,0.5057697795351878
87,8.901295790776063e-05,4.450648e-05,7.2966054e-06,4.5100634e-05,0.500000008979603,0.5066749326394808
88,9.009356720922087e-05,4.5046785e-05,7.358757e-06,4.5643883e-05,0.5000000164833361,0.506627546529322
89,9.10068624414763e-05,4.550343e-05,6.1891014e-06,4.5922403e-05,0.5000000026892324,0.5046037375731479
90,9.09695541165119e-05,4.5484776e-05,7.0831575e-06,4.603299e-05,0.49999998737927237,0.506026336609215
91,9.038647528219951e-05,4.519324e-05,6.3577727e-06,4.563825e-05,0.5000000172746013,0.5049234543066273
92,8.963859470753345e-05,4.48193e-05,7.156248e-06,4.538702e-05,0.5000000143141469,0.5063334597079999
93,8.807594187238599e-05,4.403797e-05,6.863437e-06,4.4569602e-05,0.49999998855844935,0.5060360567933576
94,8.71071200202603e-05,4.355356e-05,7.023448e-06,4.4116223e-05,0.4999999826450238,0.5064594357194586
95,8.669600731458576e-05,4.3348005e-05,6.849243e-06,4.3885782e-05,0.5000000203300825,0.5062030388756694
96,8.62506670709249e-05,4.3125332e-05,7.112917e-06,4.3707983e-05,0.49999998234846044,0.5067553087659022
97,8.59987767142224e-05,4.299939e-05,8.34134e-06,4.3800974e-05,0.5000000054369551,0.5093208935358716
98,8.575991932711329e-05,4.287996e-05,8.244018e-06,4.3665263e-05,0.5000000185733248,0.5091569929200597
99,8.506968487197591e-05,4.253484e-05,8.801405e-06,4.3435903e-05,0.4999999802855971,0.5105920245403057
100,8.44487995457185e-05,4.22244e-05,8.39436e-06,4.3050728e-05,0.5000000158733471,0.5097849609845757
101,8.445053446475722e-05,4.2225267e-05,9.397812e-06,4.3258435e-05,0.4999999966835241,0.5122339961231744
102,8.421529121215867e-05,4.2107644e-05,9.385668e-06,4.3140986e-05,0.4999999788094329,0.5122702256901271
103,8.361160487242234e-05,4.18058e-05,1.00120105e-05,4.2987966e-05,0.49999997947263397,0.5141387446972346
104,8.290777022894944e-05,4.1453884e-05,1.1075261e-05,4.290788e-05,0.49999999232261616,0.5175374875874623
105,8.245251746091253e-05,4.122626e-05,1.0600248e-05,4.2567237e-05,0.5000000127530704,0.5162636420452111
106,8.196802060529838e-05,4.098401e-05,1.2083391e-05,4.2728178e-05,0.5000000013242287,0.5212786302399995
107,8.107316710542176e-05,4.0536583e-05,1.346757e-05,4.271522e-05,0.4999999891574005,0.5268724603858057
108,7.993784145022732e-05,3.996892e-05,1.4328429e-05,4.2459607e-05,0.49999998763354603,0.531157791940084
109,7.89797054944118e-05,3.9489852e-05,1.3073126e-05,4.1597537e-05,0.499999996836507,0.526686407434867
110,7.83961172251817e-05,3.9198057e-05,1.32261675e-05,4.1369305e-05,0.4999999857212838,0.5276958422551263
111,7.831192223500884e-05,3.9155962e-05,1.2804418e-05,4.119639e-05,0.5000000168928769,0.5260551288010322
112,7.880964578182873e-05,3.9404822e-05,1.3989222e-05,4.181433e-05,0.49999998893259373,0.5305737814879126
113,7.927659162635779e-05,3.9638297e-05,1.4398724e-05,4.2172476e-05,0.5000000097307391,0.5319663140993222
114,7.880139456732683e-05,3.9400697e-05,1.447959e-05,4.197706e-05,0.49999999069896334,0.5326943615999635
115,7.786972329322248e-05,3.893486e-05,1.35049395e-05,4.1210515e-05,0.4999999870787653,0.529223848074066
116,7.706728684108555e-05,3.8533643e-05,1.6477734e-05,4.190892e-05,0.49999998818145214,0.5437964789858152
117,7.72400337041528e-05,3.8620015e-05,1.5265781e-05,4.1527695e-05,0.4999999812335779,0.5376447088181979
118,7.770612701064871e-05,3.8853064e-05,1.5537818e-05,4.1844763e-05,0.5000000105476273,0.5385001811655699
119,7.728823929232919e-05,3.864412e-05,1.5704756e-05,4.1713396e-05,0.5000000129899261,0.5397120757326536
120,7.570929091640555e-05,3.7854647e-05,1.6602517e-05,4.133543e-05,0.5000000138553956,0.5459756358788614
121,7.393429897207247e-05,3.696715e-05,1.6403454e-05,4.044309e-05,0.500000015922546,0.5470139139559611
122,7.29204485752554e-05,3.6460224e-05,1.7045939e-05,4.024813e-05,0.4999999930707259,0.551945740302113
123,7.260779953042764e-05,3.63039e-05,1.3520634e-05,3.8739912e-05,0.5000000009336101,0.5335502868926357
124,7.264766699665032e-05,3.6323832e-05,1.5172199e-05,3.9365164e-05,0.4999999837649307,0.5418641236412308
125,7.263951049282532e-05,3.6319754e-05,1.629313e-05,3.9806917e-05,0.4999999848323571,0.5480064035706738
126,7.19905550289761e-05,3.599528e-05,1.4909303e-05,3.8960847e-05,0.5000000230915171,0.541193865047653
127,7.123214927723503e-05,3.5616074e-05,1.4115109e-05,3.831111e-05,0.4999999974349288,0.5378345504494295
128,7.097328852219808e-05,3.5486642e-05,1.2547142e-05,3.7639507e-05,0.4999999744242404,0.5303334273808884
129,7.110174389684924e-05,3.555087e-05,1.2281058e-05,3.761235e-05,0.4999999861229544,0.5289933520792556
130,7.114396232231574e-05,3.5571982e-05,1.0506354e-05,3.7091093e-05,0.5000000139379664,0.5213526454317676
131,7.076209623459627e-05,3.5381046e-05,8.586127e-06,3.6407968e-05,0.499999976763697,0.5145122854197846
132,7.016592090818534e-05,3.508296e-05,8.333598e-06,3.6059162e-05,0.500000013531345,0.5139127601830586
133,6.98032348827559e-05,3.490162e-05,8.204617e-06,3.5853016e-05,0.5000000233879834,0.5136297203965965
134,6.952291594269867e-05,3.476146e-05,6.8210684e-06,3.5424368e-05,0.5000000099691546,0.5095351229784509
135,6.897921434436729e-05,3.4489607e-05,6.2394492e-06,3.504945e-05,0.49999999837504167,0.5081160850540057
136,6.851977252798257e-05,3.4259887e-05,6.354058e-06,3.484414e-05,0.5000000091116795,0.5085267758960075
137,6.828027323175182e-05,3.4140136e-05,7.0285855e-06,3.4856133e-05,0.49999998424219166,0.510486144462306
138,6.803682465448285e-05,3.4018412e-05,6.4899345e-06,3.4631947e-05,0.5000000011726082,0.5090176796870798
139,6.764541712385474e-05,3.3822707e-05,6.893687e-06,3.451809e-05,0.4999999818933351,0.5102797833735795
140,6.710036641143128e-05,3.3550183e-05,6.4539263e-06,3.4165303e-05,0.4999999925627944,0.5091671611422897
141,6.667963893914103e-05,3.333982e-05,6.637303e-06,3.399408e-05,0.5000000112562792,0.509812022764352
142,6.65195909192369e-05,3.3259796e-05,7.628889e-06,3.412351e-05,0.5000000021151229,0.5129843630308889
143,6.636536140241427e-05,3.318268e-05,6.466784e-06,3.3806944e-05,0.5000000099801234,0.509406462355127
144,6.59374506018514e-05,3.2968725e-05,6.8994837e-06,3.3682925e-05,0.49999998867128265,0.5108314769519439
145,6.548098462900621e-05,3.2740492e-05,6.9333555e-06,3.346657e-05,0.5000000000151822,0.5110883904596679
146,6.519842876152696e-05,3.2599215e-05,6.739914e-06,3.3288667e-05,0.5000000102109695,0.5105746753788644
147,6.481109033697919e-05,3.2405544e-05,5.9423674e-06,3.2945878e-05,0.4999999759028698,0.5083370434864066
148,6.431943794481655e-05,3.2159718e-05,6.784999e-06,3.286767e-05,0.49999998647947197,0.5110067784926025
149,6.391954909053592e-05,3.1959775e-05,7.116202e-06,3.2742442e-05,0.50000000379023,0.5122445752200366
150,6.355466121051422e-05,3.177733e-05,6.9409325e-06,3.252653e-05,0.4999999928424604,0.5117882403966918
151,6.327355951064946e-05,3.163678e-05,6.866782e-06,3.2373424e-05,0.5000000114076749,0.5116422110943797
152,6.306771136109813e-05,3.1533855e-05,7.282314e-06,3.236381e-05,0.49999998573231275,0.5131597138280847
153,6.289433082758582e-05,3.1447165e-05,6.5020386e-06,3.2112315e-05,0.4999999995219217,0.5105756721849795
154,6.280317907985384e-05,3.140159e-05,7.2695184e-06,3.223206e-05,0.4999999879831295,0.5132233715489415
155,6.275129327261936e-05,3.1375646e-05,7.252923e-06,3.2203046e-05,0.49999999557054864,0.513185382338874
156,6.25718344731166e-05,3.1285916e-05,7.4890895e-06,3.2169784e-05,0.4999999740221882,0.5141256391317116
157,6.230880747799379e-05,3.1154403e-05,6.919993e-06,3.191368e-05,0.499999982959162,0.5121857228181292
158,6.165493086380702e-05,3.0827465e-05,6.8841096e-06,3.1586766e-05,0.4999999897147459,0.5123153185308532
159,6.122238663627759e-05,3.0611194e-05,7.558893e-06,3.1530653e-05,0.5000000149537472,0.5150183632450033
