wl_um,half_bin_um,clean_binned,model_binned,err_obs,residual,chi2_contrib
1.784242,0.009867126,0.002486485979473876,0.0024721894896314275,2.104997e-05,-1.4296489842448301e-05,0.4612707091467954
1.803936,0.009825133,0.0024777192686537197,0.002466814805238092,2.148632e-05,-1.0904463415627869e-05,0.2575636201310947
1.823542,0.009781469,0.002475576194043206,0.0024632496365514646,2.187019e-05,-1.2326557491741576e-05,0.3176716795435689
1.843062,0.00973655,0.0024713202211753926,0.0024572371210755625,2.216418e-05,-1.4083100099830138e-05,0.40373202061493624
1.862489,0.009690178,0.002461176629225885,0.0024455723207621625,2.238336e-05,-1.5604308463722672e-05,0.48600248985588695
1.881822,0.009642855,0.0024483372314978544,0.0024358093878440795,2.252188e-05,-1.2527843653774903e-05,0.3094164287789905
1.90106,0.009594587,0.0024440933754026834,0.0024313421462423524,2.263999e-05,-1.2751229160330984e-05,0.3172134842439137
1.920201,0.009545396,0.0024414638930597824,0.0024301556239054826,2.292247e-05,-1.130826915429978e-05,0.24337134800211893
1.939242,0.009495679,0.0024378195898725787,0.002427970375440971,2.330114e-05,-9.849214431607595e-06,0.17866885203907526
1.958183,0.009445263,0.0024364894036694213,0.002426630064843592,2.359959e-05,-9.859338825829456e-06,0.17453666275256058
1.977023,0.009394547,0.0024265015473627837,0.0024230337816543313,2.400298e-05,-3.4677657084524263e-06,0.02087224523855165
1.995762,0.009343273,0.0024255917278532923,0.00242241434939578,2.420497e-05,-3.1773784575123316e-06,0.017231726622581583
2.014396,0.00929172,0.00243240604046114,0.0024214979520072325,2.411853e-05,-1.0908088453907405e-05,0.2045481863087924
2.032928,0.009240607,0.0024195522916023605,0.0024155974188136203,2.413963e-05,-3.9548727887401755e-06,0.026841316866042544
2.051358,0.009188722,0.002415907956442219,0.0024130084494247586,2.437092e-05,-2.8995070174603517e-06,0.014154824210531698
2.069683,0.009136931,0.0024188106397602742,0.0024143857288631675,2.476466e-05,-4.424910897106709e-06,0.03192598609221704
2.087906,0.009085712,0.002419640539190508,0.0024158700374181203,2.50393e-05,-3.770501772387691e-06,0.022675346460700147
2.106026,0.009033974,0.0024242741798344465,0.002419874102908429,2.504997e-05,-4.400076926017529e-06,0.030853619432327537
2.124042,0.008982279,0.002435890436597122,0.0024292972407983816,2.501842e-05,-6.5931957987405525e-06,0.06944999013677196
2.141955,0.008931325,0.0024489611046733593,0.002442001711913161,2.504562e-05,-6.9593927601984545e-06,0.0772109898122136
2.159767,0.008880599,0.002461216196315918,0.0024545990466983457,2.514295e-05,-6.617149617572232e-06,0.0692642993383435
2.177478,0.008829606,0.0024660732011541546,0.0024636464451700878,2.529132e-05,-2.4267559840668307e-06,0.00920681094465203
2.195086,0.008778875,0.002481371725301321,0.0024725323579265304,2.546597e-05,-8.839367374790814e-06,0.12048193167303058
2.212593,0.008728933,0.002485131707951316,0.002478839519411645,2.563635e-05,-6.292188539671045e-06,0.06024084713099436
2.230001,0.008679292,0.002488192261856255,0.0024817962674387023,2.578645e-05,-6.395994417552828e-06,0.06152236719909376
2.24731,0.008629901,0.0025061974763889066,0.0024859316512220874,2.588837e-05,-2.0265825166819202e-05,0.612800582449073
2.264521,0.008580974,0.0025067142507978974,0.002489271021740884,2.604906e-05,-1.7443229057013173e-05,0.448404183134727
2.281634,0.0085323,0.002501414115192796,0.002489577793625812,2.638391e-05,-1.1836321566983856e-05,0.20125894753629758
2.29865,0.008483857,0.0025093385022324248,0.0024888385683966806,2.685349e-05,-2.0499933835744187e-05,0.5827783984042808
2.31557,0.008435967,0.0025041962208841124,0.0024886522747353717,2.735139e-05,-1.554394614874076e-05,0.32297117370625833
2.332394,0.008388694,0.002504654761263307,0.0024892525444354815,2.785091e-05,-1.5402216827825523e-05,0.3058353529991098
2.349124,0.008341906,0.0025104736016610613,0.0024895954639950284,2.824008e-05,-2.087813766603287e-05,0.5465773975282301
2.365762,0.008295463,0.0025117574133894077,0.0024897957138957263,2.846358e-05,-2.1961699493681323e-05,0.5953232506657142
2.382306,0.008249479,0.0025060806993609424,0.0024886778929426524,2.874824e-05,-1.7402806418289913e-05,0.3664511213015704
2.39876,0.008203976,0.002498882410252228,0.0024858597347266133,2.906131e-05,-1.3022675525614733e-05,0.20080293913026834
2.415122,0.00815898,0.0024898901745418266,0.0024812430903270667,2.944661e-05,-8.647084214759813e-06,0.08623206144119369
2.431395,0.00811449,0.002489409344006445,0.002478872806665828,3.009146e-05,-1.0536537340617106e-05,0.1226053162352908
2.44758,0.008070386,0.0024753566944891374,0.002475330971413478,3.086237e-05,-2.5723075659529054e-08,6.946839148783476e-07
2.463677,0.008026704,0.0024736005461498596,0.0024687548887694375,3.159557e-05,-4.8456573804220825e-06,0.023520850284834173
2.479687,0.007983401,0.0024624203256551104,0.0024608461023673295,3.237252e-05,-1.5742232877809063e-06,0.0023647195927740737
2.495611,0.007940627,0.0024642895417749233,0.0024549336336476403,3.321715e-05,-9.355908127282962e-06,0.07933177320986305
2.511449,0.007898549,0.002462585198920868,0.0024521068089233206,3.394796e-05,-1.047838999754724e-05,0.09527122588519638
2.527205,0.007857001,0.0024586938081748505,0.0024527512153060945,3.420618e-05,-5.942592868755925e-06,0.03018163769249283
2.542877,0.007815875,0.002461375952855953,0.0024577078417910704,3.426508e-05,-3.6681110648826253e-06,0.011459916512289097
2.558468,0.007775201,0.0024704182681612105,0.0024614082249175655,3.44802e-05,-9.010043243645044e-06,0.06828325230992924
2.573978,0.007734753,0.0024701867256934473,0.00246273837516428,3.435012e-05,-7.448350529167067e-06,0.0470179507456467
2.589407,0.007694628,0.0024726008566348856,0.0024655415994275015,3.382519e-05,-7.059257207384095e-06,0.043554950279281746
2.604757,0.007655246,0.0024673557217247772,0.002465477017603916,3.359238e-05,-1.8787041208613055e-06,0.0031277730053192176
2.620028,0.007616559,0.002458607717711085,0.0024574694435887928,3.393391e-05,-1.13827412229206e-06,0.0011251901403882849
2.635223,0.007578279,0.0024516692284165336,0.0024472492502421784,3.437823e-05,-4.419978174355181e-06,0.01653001410057645
2.650341,0.007539885,0.002444209643711972,0.0024437080360936634,3.475432e-05,-5.016076183085062e-07,0.00020831025788374159
2.665383,0.007502071,0.0024546146470697692,0.0024532937394223507,3.489538e-05,-1.3209076474185628e-06,0.001432877440259405
2.68035,0.007465296,0.002465570876244595,0.0024644761503041066,3.467693e-05,-1.0947259404883725e-06,0.0009966198544487316
2.695244,0.007428505,0.002464566338870268,0.002464507382397805,3.472019e-05,-5.8956472462692866e-08,2.883359505444645e-06
2.710064,0.007391873,0.002458389309074178,0.0024552897349324953,3.53035e-05,-3.099574141682878e-06,0.007708476114014675
2.724811,0.007356213,0.002446698255535163,0.002444817995370106,3.588919e-05,-1.8802601650571432e-06,0.0027447865516220366
2.739489,0.007320856,0.002447679171704868,0.002444314410485063,3.608858e-05,-3.36476121980513e-06,0.008692984635676899
2.754095,0.007285455,0.0024537140265406846,0.0024528695724682524,3.621948e-05,-8.444540724322769e-07,0.0005435852291275315
2.76863,0.00725095,0.0024602765800703337,0.002457840791598096,3.679185e-05,-2.4357884722378716e-06,0.004383044597579113
